Domain-04	POLITICS
ThesaurusConcept-5416	civil liability proceedings
ThesaurusConcept-5417	public prosecution
ThesaurusConcept-5418	EU activity
ThesaurusConcept-5419	adaptation of financial perspectives
ThesaurusConcept-5420	accession to an agreement
ThesaurusConcept-5421	administration of the Institutions
ThesaurusConcept-5422	display
ThesaurusConcept-5423	Portuguese-speaking Africa
ThesaurusConcept-5424	sub-Saharan Africa
ThesaurusConcept-5425	European agency
ThesaurusConcept-5426	European Medicines Agency
ThesaurusConcept-5427	European Agency for Safety and Health at Work
ThesaurusConcept-5428	physical aggression
ThesaurusConcept-5429	parking area
ThesaurusConcept-5430	NAFTA
ThesaurusConcept-5431	allergy
ThesaurusConcept-5432	embassy
ThesaurusConcept-5433	town and country planning
ThesaurusConcept-5434	former GDR
ThesaurusConcept-5435	former USSR
ThesaurusConcept-5436	seniority
ThesaurusConcept-5437	former socialist countries
ThesaurusConcept-5438	England
ThesaurusConcept-5439	fur-bearing animal
ThesaurusConcept-5440	gas appliance
ThesaurusConcept-5441	information technology applications
ThesaurusConcept-5442	deepening of the European Union
ThesaurusConcept-5443	Atlantic Arc
ThesaurusConcept-5444	archipelago
ThesaurusConcept-5445	Armenia
ThesaurusConcept-5446	South Asian Association for Regional Cooperation
ThesaurusConcept-5447	lift
ThesaurusConcept-5448	Central Asia
ThesaurusConcept-5449	parliamentary assembly
ThesaurusConcept-5450	administrative autonomy
ThesaurusConcept-5451	market approval
ThesaurusConcept-5452	preliminary draft EC budget
ThesaurusConcept-5453	fighter aircraft
ThesaurusConcept-5454	Azerbaijan
ThesaurusConcept-5455	European Central Bank
ThesaurusConcept-5456	legal basis
ThesaurusConcept-5457	Rhine Valley
ThesaurusConcept-5458	Belarus
ThesaurusConcept-5459	net recipient
ThesaurusConcept-5460	EBRD
ThesaurusConcept-5461	dual-use good
ThesaurusConcept-5462	animal welfare
ThesaurusConcept-5463	biodiversity
ThesaurusConcept-5464	biotope
ThesaurusConcept-5465	money laundering
ThesaurusConcept-5466	cleaning industry
ThesaurusConcept-5467	tropical wood
ThesaurusConcept-5468	bomber
ThesaurusConcept-5469	Bosnia and Herzegovina
ThesaurusConcept-5470	Brandenburg
ThesaurusConcept-5471	air cabotage
ThesaurusConcept-5472	Community support framework
ThesaurusConcept-5473	scientific calculation
ThesaurusConcept-5474	timetable for EMU
ThesaurusConcept-5475	professional career
ThesaurusConcept-5476	expansion card
ThesaurusConcept-5477	audio cassette
ThesaurusConcept-5478	Euro-Atlantic Partnership Council
ThesaurusConcept-5479	Commonwealth of Independent States
ThesaurusConcept-5480	quality control circle
ThesaurusConcept-5481	Community certification
ThesaurusConcept-5482	climate change
ThesaurusConcept-5483	change of political system
ThesaurusConcept-5484	Community Charter of the Fundamental Social Rights of Workers
ThesaurusConcept-5485	European charter
ThesaurusConcept-5486	international charter
ThesaurusConcept-5487	surgeon
ThesaurusConcept-5488	cemetery
ThesaurusConcept-5489	aggravating circumstances
ThesaurusConcept-5490	mitigating circumstances
ThesaurusConcept-5491	European citizenship
ThesaurusConcept-5492	unfair terms of contract
ThesaurusConcept-5493	contract terms
ThesaurusConcept-5494	opt-out clause
ThesaurusConcept-5495	Wassenaar arrangement
ThesaurusConcept-5496	civil code
ThesaurusConcept-5497	penal code
ThesaurusConcept-5498	codification of EU law
ThesaurusConcept-5499	economic and social cohesion
ThesaurusConcept-5500	hairdressing and beauty care
ThesaurusConcept-5501	local authority
ThesaurusConcept-5502	regional authority
ThesaurusConcept-5503	heating
ThesaurusConcept-5504	EEA Joint Committee
ThesaurusConcept-5505	EEA Joint Consultative Committee
ThesaurusConcept-5506	management committee (EU)
ThesaurusConcept-5507	regulatory committee (EU)
ThesaurusConcept-5508	Committee of the Regions
ThesaurusConcept-5509	joint committee (EU)
ThesaurusConcept-5510	EEA joint parliamentary committee
ThesaurusConcept-5511	comitology
ThesaurusConcept-5512	trade in organs
ThesaurusConcept-5513	art trade
ThesaurusConcept-5514	Flemish Community
ThesaurusConcept-5515	French-speaking Community
ThesaurusConcept-5516	German-speaking Community
ThesaurusConcept-5517	Belgian communities
ThesaurusConcept-5518	powers of the EP
ThesaurusConcept-5519	powers of the institutions (EU)
ThesaurusConcept-5520	computer assisted design
ThesaurusConcept-5521	employers' confederation
ThesaurusConcept-5522	trade union confederation
ThesaurusConcept-5523	European conference
ThesaurusConcept-5524	intergovernmental conference (EU)
ThesaurusConcept-5525	international conference
ThesaurusConcept-5526	International Labour Conference
ThesaurusConcept-5527	tripartite conference
ThesaurusConcept-5528	ethnic conflict
ThesaurusConcept-5529	leave for political activities
ThesaurusConcept-5530	Gulf Cooperation Council
ThesaurusConcept-5531	EEA Council
ThesaurusConcept-5532	consultancy
ThesaurusConcept-5533	deposit on a polluting product
ThesaurusConcept-5534	consolidation of EU law
ThesaurusConcept-5535	consulate
ThesaurusConcept-5536	administrative contract
ThesaurusConcept-5537	financial compensation of an agreement
ThesaurusConcept-5538	net contributor
ThesaurusConcept-5539	GNP contribution
ThesaurusConcept-5540	border control
ThesaurusConcept-5541	control of State aid
ThesaurusConcept-5542	export monitoring
ThesaurusConcept-5543	Intergovernmental Convention (EU)
ThesaurusConcept-5544	cooperation in home affairs
ThesaurusConcept-5545	customs cooperation
ThesaurusConcept-5546	environmental cooperation
ThesaurusConcept-5547	intergovernmental cooperation (EU)
ThesaurusConcept-5548	interinstitutional cooperation (EU)
ThesaurusConcept-5549	inter-parliamentary cooperation
ThesaurusConcept-5550	judicial cooperation in criminal matters in the EU
ThesaurusConcept-5551	police cooperation
ThesaurusConcept-5552	EU police cooperation
ThesaurusConcept-5553	housing cooperative
ThesaurusConcept-5554	coordination of financing
ThesaurusConcept-5555	coordination of EMU policies
ThesaurusConcept-5556	Horn of Africa
ThesaurusConcept-5557	Eurocorps
ThesaurusConcept-5558	COSAC
ThesaurusConcept-5559	claim
ThesaurusConcept-5560	organised crime
ThesaurusConcept-5561	eligibility criteria
ThesaurusConcept-5562	convergence criteria
ThesaurusConcept-5563	Croatia
ThesaurusConcept-5564	overlapping of income
ThesaurusConcept-5565	cyclone
ThesaurusConcept-5566	tax return
ThesaurusConcept-5567	declaration of Community interest
ThesaurusConcept-5568	public statement
ThesaurusConcept-5569	publishing deadline
ThesaurusConcept-5570	insider trading
ThesaurusConcept-5571	environmental offence
ThesaurusConcept-5572	sexual offence
ThesaurusConcept-5573	product designation
ThesaurusConcept-5574	withdrawal from an agreement
ThesaurusConcept-5575	agricultural expenditure
ThesaurusConcept-5576	EU expenditure
ThesaurusConcept-5577	administrative expenditure (EU)
ThesaurusConcept-5578	research expenditure (EU)
ThesaurusConcept-5579	operational expenditure (EU)
ThesaurusConcept-5580	structural expenditure
ThesaurusConcept-5581	derogation from EU law
ThesaurusConcept-5582	debt
ThesaurusConcept-5583	customs debt
ThesaurusConcept-5584	second stage of EMU
ThesaurusConcept-5585	sustainable development
ThesaurusConcept-5586	duties of civil servants
ThesaurusConcept-5587	social dialogue
ThesaurusConcept-5588	social dialogue (EU)
ThesaurusConcept-5589	dissemination of EU information
ThesaurusConcept-5590	budgetary discipline (EU)
ThesaurusConcept-5591	military discipline
ThesaurusConcept-5592	discrimination on the basis of nationality
ThesaurusConcept-5593	anti-pollution device
ThesaurusConcept-5594	medical data
ThesaurusConcept-5595	personal data
ThesaurusConcept-5596	right of action
ThesaurusConcept-5597	right of asylum
ThesaurusConcept-5598	law of obligations
ThesaurusConcept-5599	regional law
ThesaurusConcept-5600	rights of civil servants
ThesaurusConcept-5601	screen
ThesaurusConcept-5602	private ECU
ThesaurusConcept-5603	education of young offenders
ThesaurusConcept-5604	workers' stock ownership
ThesaurusConcept-5605	greenhouse effect
ThesaurusConcept-5606	drafting of EU law
ThesaurusConcept-5607	regional election
ThesaurusConcept-5608	embryo and foetus
ThesaurusConcept-5609	use of languages
ThesaurusConcept-5610	military training
ThesaurusConcept-5611	institutional balance (EU)
ThesaurusConcept-5612	protective equipment
ThesaurusConcept-5613	computer equipment
ThesaurusConcept-5614	pressure equipment
ThesaurusConcept-5615	thermal equipment
ThesaurusConcept-5616	miscarriage of justice
ThesaurusConcept-5617	Eritrea
ThesaurusConcept-5618	European Economic Area
ThesaurusConcept-5619	Estonia
ThesaurusConcept-5620	drawing up of the EU budget
ThesaurusConcept-5621	non-secular State
ThesaurusConcept-5622	rule of law
ThesaurusConcept-5623	federal State
ThesaurusConcept-5624	Islamic State
ThesaurusConcept-5625	secular State
ThesaurusConcept-5626	unitarian State
ThesaurusConcept-5627	comparative study
ThesaurusConcept-5628	case study
ThesaurusConcept-5629	citizens' Europe
ThesaurusConcept-5630	Europol
ThesaurusConcept-5631	carrying out of sentence
ThesaurusConcept-5632	professional experience
ThesaurusConcept-5633	expert's report ordered by a court
ThesaurusConcept-5634	extremism
ThesaurusConcept-5635	computer assisted manufacturing
ThesaurusConcept-5636	facilities for the disabled
ThesaurusConcept-5637	Flevoland
ThesaurusConcept-5638	international civil service
ThesaurusConcept-5639	international civil servant
ThesaurusConcept-5640	operation of the Institutions
ThesaurusConcept-5641	European foundation
ThesaurusConcept-5642	European Training Foundation
ThesaurusConcept-5643	Cohesion Fund
ThesaurusConcept-5644	Council of Europe fund
ThesaurusConcept-5645	European Investment Fund
ThesaurusConcept-5646	office supplies
ThesaurusConcept-5647	tax-free allowance
ThesaurusConcept-5648	fraud against the EU
ThesaurusConcept-5649	external border of the EU
ThesaurusConcept-5650	greenhouse gas
ThesaurusConcept-5651	genetics
ThesaurusConcept-5652	Georgia
ThesaurusConcept-5653	gypsy
ThesaurusConcept-5654	hunger strike
ThesaurusConcept-5655	Visegrad countries
ThesaurusConcept-5656	Group of Twenty-Four
ThesaurusConcept-5657	association of local authorities
ThesaurusConcept-5658	European Economic Interest Grouping
ThesaurusConcept-5659	sexual harassment
ThesaurusConcept-5660	combat helicopter
ThesaurusConcept-5661	ancient history
ThesaurusConcept-5662	contemporary history
ThesaurusConcept-5663	medieval history
ThesaurusConcept-5664	modern history
ThesaurusConcept-5665	historical account
ThesaurusConcept-5666	trading hours
ThesaurusConcept-5667	cultural identity
ThesaurusConcept-5668	FIFG
ThesaurusConcept-5669	image
ThesaurusConcept-5670	diplomatic immunity
ThesaurusConcept-5671	printer
ThesaurusConcept-5672	waste incineration
ThesaurusConcept-5673	economic infrastructure
ThesaurusConcept-5674	EU initiative
ThesaurusConcept-5675	European growth initiative
ThesaurusConcept-5676	insect
ThesaurusConcept-5677	launch facility
ThesaurusConcept-5678	plumbing equipment
ThesaurusConcept-5679	European Institute of Public Administration
ThesaurusConcept-5680	European Monetary Institute
ThesaurusConcept-5681	EEA joint institution
ThesaurusConcept-5682	economic instrument for the environment
ThesaurusConcept-5683	bad weather
ThesaurusConcept-5684	systems interconnection
ThesaurusConcept-5685	collective interest
ThesaurusConcept-5686	interest in bringing an action
ThesaurusConcept-5687	boarding school
ThesaurusConcept-5688	Interpol
ThesaurusConcept-5689	food poisoning
ThesaurusConcept-5690	Jew
ThesaurusConcept-5691	courts and tribunals
ThesaurusConcept-5692	constitutional court
ThesaurusConcept-5693	Kazakhstan
ThesaurusConcept-5694	Kyrgyzstan
ThesaurusConcept-5695	Kosovo
ThesaurusConcept-5696	eco-label
ThesaurusConcept-5697	lake
ThesaurusConcept-5698	mother's milk
ThesaurusConcept-5699	launch vehicle
ThesaurusConcept-5700	European language
ThesaurusConcept-5701	minority language
ThesaurusConcept-5702	non-European language
ThesaurusConcept-5703	regional language
ThesaurusConcept-5704	living language
ThesaurusConcept-5705	disc drive
ThesaurusConcept-5706	Latvia
ThesaurusConcept-5707	liberalisation of the market
ThesaurusConcept-5708	freedom of the skies
ThesaurusConcept-5709	Lithuania
ThesaurusConcept-5710	hiring
ThesaurusConcept-5711	organic law
ThesaurusConcept-5712	dividing up of land
ThesaurusConcept-5713	Former Yugoslav Republic of Macedonia
ThesaurusConcept-5714	congenital disease
ThesaurusConcept-5715	nutritional disease
ThesaurusConcept-5716	skin disease
ThesaurusConcept-5717	blood disease
ThesaurusConcept-5718	gastrointestinal disease
ThesaurusConcept-5719	disease of the nervous system
ThesaurusConcept-5720	endocrine disease
ThesaurusConcept-5721	sexually transmitted disease
ThesaurusConcept-5722	wild mammal
ThesaurusConcept-5723	sporting event
ThesaurusConcept-5724	military manoeuvres
ThesaurusConcept-5725	services contract
ThesaurusConcept-5726	EC conformity marking
ThesaurusConcept-5727	marsupial
ThesaurusConcept-5728	material of animal origin
ThesaurusConcept-5729	EMS exchange-rate mechanism
ThesaurusConcept-5730	Mecklenburg-Western Pomerania
ThesaurusConcept-5731	standard agreement health care
ThesaurusConcept-5732	forensic medicine
ThesaurusConcept-5733	over-the-counter drug
ThesaurusConcept-5734	veterinary drug
ThesaurusConcept-5735	Caspian Sea
ThesaurusConcept-5736	Black Sea
ThesaurusConcept-5737	Red Sea
ThesaurusConcept-5738	Mercosur
ThesaurusConcept-5739	national implementing measure
ThesaurusConcept-5740	microorganism
ThesaurusConcept-5741	aquatic environment
ThesaurusConcept-5742	marine environment
ThesaurusConcept-5743	miner
ThesaurusConcept-5744	fact-finding mission
ThesaurusConcept-5745	modem
ThesaurusConcept-5746	Montenegro
ThesaurusConcept-5747	monument
ThesaurusConcept-5748	political morality
ThesaurusConcept-5749	negotiation of an agreement (EU)
ThesaurusConcept-5750	Uruguay Round
ThesaurusConcept-5751	Combined Nomenclature
ThesaurusConcept-5752	drugs classification
ThesaurusConcept-5753	non-proliferation of arms
ThesaurusConcept-5754	environmental standard
ThesaurusConcept-5755	new type of employment
ThesaurusConcept-5756	observer
ThesaurusConcept-5757	European Monitoring Centre for Drugs and Drug Addiction
ThesaurusConcept-5758	Community Trademark Office
ThesaurusConcept-5760	bird
ThesaurusConcept-5761	EU body for police and judicial cooperation
ThesaurusConcept-5762	decision-making body
ThesaurusConcept-5763	joint body (EU)
ThesaurusConcept-5764	organisation of health care
ThesaurusConcept-5765	World Trade Organisation
ThesaurusConcept-5766	sports body
ThesaurusConcept-5767	Community body
ThesaurusConcept-5768	genetically modified organism
ThesaurusConcept-5769	EU office or agency
ThesaurusConcept-5770	Uzbekistan
ThesaurusConcept-5771	sponsorship
ThesaurusConcept-5772	EU sponsorship
ThesaurusConcept-5773	Partnership for Peace
ThesaurusConcept-5774	Baltic States
ThesaurusConcept-5775	CIS countries
ThesaurusConcept-5776	GCC countries
ThesaurusConcept-5777	Gulf States
ThesaurusConcept-5778	Mercosur countries
ThesaurusConcept-5779	non-associated country
ThesaurusConcept-5780	Mediterranean third countries
ThesaurusConcept-5781	Central and Eastern European Countries
ThesaurusConcept-5782	tradeable emission permit
ThesaurusConcept-5783	civilian personnel
ThesaurusConcept-5784	contract staff
ThesaurusConcept-5785	nursing staff
ThesaurusConcept-5786	military personnel
ThesaurusConcept-5787	financial perspectives
ThesaurusConcept-5788	CFSP
ThesaurusConcept-5789	philosophy of law
ThesaurusConcept-5790	complaint to the Commission
ThesaurusConcept-5791	harmful plant
ThesaurusConcept-5792	living plant
ThesaurusConcept-5793	pluralism in the media
ThesaurusConcept-5794	EU environmental policy
ThesaurusConcept-5795	single exchange-rate policy
ThesaurusConcept-5796	visa policy
ThesaurusConcept-5797	single monetary policy
ThesaurusConcept-5798	stratospheric pollutant
ThesaurusConcept-5799	indigenous population
ThesaurusConcept-5800	pornography
ThesaurusConcept-5801	aircraft carrier
ThesaurusConcept-5802	legal process
ThesaurusConcept-5803	prehistory
ThesaurusConcept-5804	first stage of EMU
ThesaurusConcept-5805	head of State
ThesaurusConcept-5806	EU Council Presidency
ThesaurusConcept-5807	President of the Commission
ThesaurusConcept-5808	scientific press
ThesaurusConcept-5809	proof
ThesaurusConcept-5810	accident prevention
ThesaurusConcept-5811	mutual recognition principle
ThesaurusConcept-5812	principle of subsidiarity
ThesaurusConcept-5813	general legal principle
ThesaurusConcept-5814	infringement procedure (EU)
ThesaurusConcept-5815	codecision procedure
ThesaurusConcept-5816	conciliation procedure (part of codecision procedure)
ThesaurusConcept-5817	special procedure
ThesaurusConcept-5818	homeopathic product
ThesaurusConcept-5819	recycled product
ThesaurusConcept-5820	customs profession
ThesaurusConcept-5821	practitioner of alternative medicine
ThesaurusConcept-5822	legislative programme (EU)
ThesaurusConcept-5823	operational programme
ThesaurusConcept-5824	project of European interest
ThesaurusConcept-5825	draft budget (EU)
ThesaurusConcept-5826	promotion of the European idea
ThesaurusConcept-5827	financial protocol
ThesaurusConcept-5828	computer assisted publishing
ThesaurusConcept-5829	public conduct of debates
ThesaurusConcept-5830	confidence motion
ThesaurusConcept-5831	Tibetan question
ThesaurusConcept-5832	preliminary issue
ThesaurusConcept-5833	renewal of an agreement
ThesaurusConcept-5834	appeal to the European Ombudsman
ThesaurusConcept-5835	action brought before an administrative court
ThesaurusConcept-5836	appeal to the Court (EU)
ThesaurusConcept-5837	action for annulment of an EC decision
ThesaurusConcept-5838	action to establish liability on the part of an administration
ThesaurusConcept-5839	environmental tax
ThesaurusConcept-5840	economic reform
ThesaurusConcept-5841	political reform
ThesaurusConcept-5842	EU customs procedure
ThesaurusConcept-5843	export customs procedure
ThesaurusConcept-5844	EU financing arrangements
ThesaurusConcept-5845	Alpine Region
ThesaurusConcept-5846	region dependent on fishing
ThesaurusConcept-5847	eligible region
ThesaurusConcept-5848	European Region
ThesaurusConcept-5849	declining industrial region
ThesaurusConcept-5850	civil register
ThesaurusConcept-5851	parliamentary rules of procedure
ThesaurusConcept-5852	citizen-authority relations
ThesaurusConcept-5853	relations between the State and the regions
ThesaurusConcept-5854	interinstitutional relations (EU)
ThesaurusConcept-5855	division of powers
ThesaurusConcept-5856	distribution of EU funding
ThesaurusConcept-5857	reptile
ThesaurusConcept-5858	Moldova
ThesaurusConcept-5859	Slovakia
ThesaurusConcept-5860	Czech Republic
ThesaurusConcept-5861	energy grid
ThesaurusConcept-5862	computer network
ThesaurusConcept-5863	local area network
ThesaurusConcept-5864	trans-European network
ThesaurusConcept-5865	reservation
ThesaurusConcept-5866	budgetary reserve (EU)
ThesaurusConcept-5867	resolution of parliament
ThesaurusConcept-5868	VAT resource
ThesaurusConcept-5869	deduction at source
ThesaurusConcept-5870	revision of an agreement
ThesaurusConcept-5871	revision of the Treaty (EU)
ThesaurusConcept-5872	revision of financial perspectives
ThesaurusConcept-5873	the EU's international role
ThesaurusConcept-5874	rodent
ThesaurusConcept-5875	royalism
ThesaurusConcept-5876	Russia
ThesaurusConcept-5877	animal health
ThesaurusConcept-5878	mental health
ThesaurusConcept-5879	Saxony
ThesaurusConcept-5880	Saxony-Anhalt
ThesaurusConcept-5881	medical science
ThesaurusConcept-5882	sculpture
ThesaurusConcept-5883	European System of Central Banks
ThesaurusConcept-5884	State secret
ThesaurusConcept-5885	secretariat of an Institution
ThesaurusConcept-5886	farming sector
ThesaurusConcept-5887	air safety
ThesaurusConcept-5888	security services
ThesaurusConcept-5889	maritime safety
ThesaurusConcept-5890	earthquake
ThesaurusConcept-5891	public awareness campaign
ThesaurusConcept-5892	Serbia
ThesaurusConcept-5893	network server
ThesaurusConcept-5894	State health service
ThesaurusConcept-5895	monkey
ThesaurusConcept-5896	historic site
ThesaurusConcept-5897	political situation
ThesaurusConcept-5898	Slovenia
ThesaurusConcept-5899	health care
ThesaurusConcept-5900	nursing care
ThesaurusConcept-5901	submarine
ThesaurusConcept-5902	medical specialisation
ThesaurusConcept-5903	animal show
ThesaurusConcept-5904	budgetary stabiliser
ThesaurusConcept-5905	education statistics
ThesaurusConcept-5906	head of agricultural holding
ThesaurusConcept-5907	health statistics
ThesaurusConcept-5908	transport statistics
ThesaurusConcept-5909	tourism statistics
ThesaurusConcept-5910	European legal status
ThesaurusConcept-5911	stimulant
ThesaurusConcept-5912	underground storage of waste
ThesaurusConcept-5913	fisheries structure
ThesaurusConcept-5914	psychotropic substance
ThesaurusConcept-5915	help desk
ThesaurusConcept-5916	drug surveillance
ThesaurusConcept-5917	multilateral surveillance
ThesaurusConcept-5918	joint authority
ThesaurusConcept-5919	operating system
ThesaurusConcept-5920	database management system
ThesaurusConcept-5921	health care system
ThesaurusConcept-5922	computer system
ThesaurusConcept-5923	legal system
ThesaurusConcept-5924	spreadsheet
ThesaurusConcept-5925	Tajikistan
ThesaurusConcept-5926	financing level
ThesaurusConcept-5927	taxi
ThesaurusConcept-5928	dual-use technology
ThesaurusConcept-5929	computer terminal
ThesaurusConcept-5930	autonomous territories of Palestine
ThesaurusConcept-5931	territories of the former Yugoslavia
ThesaurusConcept-5932	Thuringia
ThesaurusConcept-5933	trafficking in persons
ThesaurusConcept-5934	tranquiliser
ThesaurusConcept-5935	processing under customs control
ThesaurusConcept-5936	administrative transparency
ThesaurusConcept-5937	transparency in decision-making
ThesaurusConcept-5938	transport of patients
ThesaurusConcept-5939	trauma
ThesaurusConcept-5940	non-standard employment
ThesaurusConcept-5941	seasonal employment
ThesaurusConcept-5942	Troika (EU)
ThesaurusConcept-5943	third stage of EMU
ThesaurusConcept-5944	Turkmenistan
ThesaurusConcept-5945	administrative supervision
ThesaurusConcept-5946	Ukraine
ThesaurusConcept-5947	Ulster-Donegal
ThesaurusConcept-5948	European Political Union
ThesaurusConcept-5949	information technology user
ThesaurusConcept-5950	alternative use of agricultural products
ThesaurusConcept-5951	disease vector
ThesaurusConcept-5952	combat vehicle
ThesaurusConcept-5953	infringement of EU law
ThesaurusConcept-5954	appeal
ThesaurusConcept-5955	Vojvodina
ThesaurusConcept-5956	traveller
ThesaurusConcept-5957	demilitarised zone
ThesaurusConcept-5958	sensitive area
ThesaurusConcept-5959	head of government
ThesaurusConcept-5960	leader of the opposition
ThesaurusConcept-5961	head of household
ThesaurusConcept-5962	livestock
ThesaurusConcept-5963	cheque
ThesaurusConcept-5964	turnover
ThesaurusConcept-5965	Chile
ThesaurusConcept-5966	chemistry
ThesaurusConcept-5967	food chemistry
ThesaurusConcept-5968	industrial chemistry
ThesaurusConcept-5969	China
ThesaurusConcept-5970	surgery
ThesaurusConcept-5971	chlorine
ThesaurusConcept-5972	programme budgeting
ThesaurusConcept-5973	choice of technology
ThesaurusConcept-5974	unemployment
ThesaurusConcept-5975	cyclical unemployment
ThesaurusConcept-5976	hidden unemployment
ThesaurusConcept-5977	female unemployment
ThesaurusConcept-5978	youth unemployment
ThesaurusConcept-5979	short-time working
ThesaurusConcept-5980	seasonal unemployment
ThesaurusConcept-5981	structural unemployment
ThesaurusConcept-5982	temporary layoff
ThesaurusConcept-5983	unemployment due to technical progress
ThesaurusConcept-5984	abstentionism
ThesaurusConcept-5985	branch of activity
ThesaurusConcept-5986	unemployed person
ThesaurusConcept-5987	Christianity
ThesaurusConcept-5988	chromium
ThesaurusConcept-5989	Cyprus
ThesaurusConcept-5990	cider
ThesaurusConcept-5991	International Organisation for Migration
ThesaurusConcept-5992	economic activity
ThesaurusConcept-5993	cement
ThesaurusConcept-5994	cinema
ThesaurusConcept-5995	circular
ThesaurusConcept-5996	civilisation
ThesaurusConcept-5997	ruling class
ThesaurusConcept-5998	lower class
ThesaurusConcept-5999	middle class
ThesaurusConcept-6000	working class
ThesaurusConcept-6001	peasant class
ThesaurusConcept-6002	social class
ThesaurusConcept-6003	upper class
ThesaurusConcept-6004	classification
ThesaurusConcept-6005	arbitration clause
ThesaurusConcept-6006	allocation clause
ThesaurusConcept-6007	protective clause
ThesaurusConcept-6008	self-employment
ThesaurusConcept-6009	clergy
ThesaurusConcept-6010	customers
ThesaurusConcept-6011	climate
ThesaurusConcept-6012	air conditioning
ThesaurusConcept-6013	closing of accounts
ThesaurusConcept-6014	political club
ThesaurusConcept-6015	WFC
ThesaurusConcept-6016	UN Conference on Trade and Development
ThesaurusConcept-6017	political coalition
ThesaurusConcept-6018	cobalt
ThesaurusConcept-6019	coding
ThesaurusConcept-6020	highway code
ThesaurusConcept-6021	navigational code
ThesaurusConcept-6022	work code
ThesaurusConcept-6023	legal code
ThesaurusConcept-6024	peaceful co-existence
ThesaurusConcept-6025	co-financing
ThesaurusConcept-6026	co-determination
ThesaurusConcept-6027	coke
ThesaurusConcept-6028	budgetary cooperation
ThesaurusConcept-6029	tax collection
ThesaurusConcept-6030	data collection
ThesaurusConcept-6031	solar collector
ThesaurusConcept-6032	collectivism
ThesaurusConcept-6033	rural community
ThesaurusConcept-6034	regional and local authorities
ThesaurusConcept-6035	urban community
ThesaurusConcept-6036	Colombia
ThesaurusConcept-6037	adjustment to school
ThesaurusConcept-6038	dyestuff
ThesaurusConcept-6039	food colouring
ThesaurusConcept-6040	artificial food colouring
ThesaurusConcept-6041	natural food colouring
ThesaurusConcept-6042	oil seed rape
ThesaurusConcept-6043	fuel
ThesaurusConcept-6044	substitute fuel
ThesaurusConcept-6045	fossil fuel
ThesaurusConcept-6046	social adjustment
ThesaurusConcept-6047	nuclear fuel
ThesaurusConcept-6048	EU agriculture committee
ThesaurusConcept-6049	committee (EU)
ThesaurusConcept-6050	advisory committee (EU)
ThesaurusConcept-6051	works council
ThesaurusConcept-6052	food additive
ThesaurusConcept-6053	EU Council committee
ThesaurusConcept-6054	European Economic and Social Committee
ThesaurusConcept-6055	Monetary Committee (EU)
ThesaurusConcept-6056	joint committee on EU matters
ThesaurusConcept-6057	standing committee (EU)
ThesaurusConcept-6058	UN Standing Committee
ThesaurusConcept-6059	scientific committee (EU)
ThesaurusConcept-6060	technical committee (EU)
ThesaurusConcept-6061	structural adjustment
ThesaurusConcept-6062	commercial arbitration
ThesaurusConcept-6064	audit
ThesaurusConcept-6067	virtual library
ThesaurusConcept-6072	Translation Centre for the Bodies of the European Union
ThesaurusConcept-6076	Community Plant Variety Office
ThesaurusConcept-6077	African Charter on Human and Peoples' Rights
ThesaurusConcept-6079	European Energy Charter
ThesaurusConcept-6081	social clause
ThesaurusConcept-6083	UN Conference on Environment and Development
ThesaurusConcept-6084	European Works Council
ThesaurusConcept-6088	Internet
ThesaurusConcept-6089	electronic commerce
ThesaurusConcept-6091	European standardisation body
ThesaurusConcept-6093	European Committee for Standardisation
ThesaurusConcept-6094	Cenelec
ThesaurusConcept-6095	ETSI
ThesaurusConcept-6099	recognition of vocational training qualifications
ThesaurusConcept-6100	quality control of agricultural products
ThesaurusConcept-6101	EFTA Court
ThesaurusConcept-6103	hazardous waste
ThesaurusConcept-6104	legal deposit
ThesaurusConcept-6105	social dumping
ThesaurusConcept-6106	established right
ThesaurusConcept-6108	transition economy
ThesaurusConcept-6110	electronic publishing
ThesaurusConcept-6111	enzyme
ThesaurusConcept-6112	BSE bovine spongiform encephalopathy
ThesaurusConcept-6113	European social area
ThesaurusConcept-6114	group of leading industrialised countries
ThesaurusConcept-6115	GATS
ThesaurusConcept-6116	Rio Group
ThesaurusConcept-6117	establishment of peace
ThesaurusConcept-6120	economic intelligence
ThesaurusConcept-6121	zoo
ThesaurusConcept-6124	fish disease
ThesaurusConcept-6125	globalisation
ThesaurusConcept-6126	multimedia
ThesaurusConcept-6128	Office for Harmonization in the Internal Market
ThesaurusConcept-6129	World Customs Organisation
ThesaurusConcept-6130	Dispute Settlement Body
ThesaurusConcept-6131	Asia–Pacific economic cooperation
ThesaurusConcept-6132	paedophilia
ThesaurusConcept-6133	principle of proportionality
ThesaurusConcept-6134	comparative advertising
ThesaurusConcept-6135	regions of Finland
ThesaurusConcept-6136	regions of Austria
ThesaurusConcept-6138	regions of Sweden
ThesaurusConcept-6139	regulation of telecommunications
ThesaurusConcept-6140	information society
ThesaurusConcept-6142	Treaty of Amsterdam
ThesaurusConcept-6143	economic transition
ThesaurusConcept-6145	TRIMs
ThesaurusConcept-6146	TRIPS
ThesaurusConcept-6148	BusinessEurope
ThesaurusConcept-6150	working life
ThesaurusConcept-6151	euro area
ThesaurusConcept-6152	zoonosis
ThesaurusConcept-6155	Taric
ThesaurusConcept-6157	ICFTU
